XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount
2.7,334.19059473,334.19059473,71.8,501.0,0.0,1.0,5.0,4.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2.9,364.18117286,364.18117286,71.8,592.0,0.0,1.0,6.0,3.0,27.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,,,,,,,
2.6,389.11979803,389.11979803,82.7,593.0,0.0,1.0,5.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1,305.94625,305.94625,70.2,354.0,0.0,1.0,3.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9,378.11504700,378.11504700,98.5,587.0,0.0,2.0,5.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,,,,,,,
4.7,442.16166041,442.16166041,86.1,596.0,0.0,2.0,8.0,7.0,32.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5.0,475.14668148,475.14668148,121.0,787.0,0.0,3.0,5.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,,,,,,,
2.2,268.13241115,268.13241115,65.5,645.0,0.0,3.0,4.0,3.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
,,,,,,,,,,,,,,,,,
7.7,431.1054990,431.1054990,62.3,607.0,0.0,2.0,3.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.6,370.16410520,370.16410520,119.0,535.0,0.0,2.0,7.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.2,424.16477390,424.16477390,103.0,793.0,0.0,3.0,6.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.5,530.24639552,530.24639552,141.0,759.0,0.0,4.0,6.0,10.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.6,325.15904043,325.15904043,57.8,573.0,0.0,2.0,4.0,1.0,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3.4,499.20196787,499.20196787,106.0,834.0,0.0,3.0,7.0,5.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,386.14126175,386.14126175,112.0,599.0,0.0,3.0,5.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.7,315.11831843,315.11831843,57.8,423.0,0.0,2.0,4.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.6,453.25286063,453.25286063,69.2,645.0,0.0,1.0,5.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,0.0,,,0.0,,,
2.3,241.04221642,241.04221642,109.0,340.0,0.0,1.0,5.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
